Timestamp,tmobile_download
2024/07/20 00:01:21,9.96
2024/07/20 00:06:21,21.76
2024/07/20 00:11:20,21.07
2024/07/20 00:16:20,21.04
2024/07/20 00:21:20,17.94
2024/07/20 00:26:20,21.51
2024/07/20 00:31:20,15.8
2024/07/20 00:36:20,24.33
2024/07/20 00:41:20,23.36
2024/07/20 00:46:20,18.9
2024/07/20 00:51:19,18.39
2024/07/20 00:56:19,13.56
2024/07/20 01:01:18,20.11
2024/07/20 01:06:18,-1
2024/07/20 01:11:18,14.79
2024/07/20 01:16:18,33.45
2024/07/20 01:21:17,21
2024/07/20 01:26:16,20.04
2024/07/20 01:31:16,27.73
2024/07/20 01:36:16,16.48
2024/07/20 01:41:16,28.49
2024/07/20 01:46:16,21.19
2024/07/20 01:51:16,13.38
2024/07/20 01:56:16,13.81
2024/07/20 02:01:16,20.05
2024/07/20 02:06:16,20.01
2024/07/20 02:11:16,21.83
2024/07/20 02:16:16,25.01
2024/07/20 02:21:16,20.96
2024/07/20 02:26:16,18.81
2024/07/20 02:31:16,23.56
2024/07/20 02:36:15,-1
2024/07/20 02:41:15,20.51
2024/07/20 02:46:15,31.05
2024/07/20 02:51:15,24.09
2024/07/20 02:56:15,24.47
2024/07/20 03:01:15,28.31
2024/07/20 03:06:15,16.46
2024/07/20 03:11:14,24.41
2024/07/20 03:16:14,24.91
2024/07/20 03:21:14,30.03
2024/07/20 03:26:14,26.54
2024/07/20 03:31:14,22.99
2024/07/20 03:36:14,21.32
2024/07/20 03:41:14,25.46
2024/07/20 03:46:14,23.62
2024/07/20 03:51:14,22.09
2024/07/20 03:56:14,20.59
2024/07/20 04:01:14,18.09
2024/07/20 04:06:14,12.18
2024/07/20 04:11:14,14.75
2024/07/20 04:16:14,14.73
2024/07/20 04:21:14,18.68
2024/07/20 04:26:14,22.38
2024/07/20 04:31:14,28.57
2024/07/20 04:36:14,20.94
2024/07/20 04:41:14,18.03
2024/07/20 04:46:14,21.36
2024/07/20 04:51:14,28.66
2024/07/20 04:56:14,17.99
2024/07/20 05:01:14,25.46
2024/07/20 05:06:14,22.4
2024/07/20 05:11:13,31.73
2024/07/20 05:16:12,20.1
2024/07/20 05:21:12,23.91
2024/07/20 05:26:12,-1
2024/07/20 05:31:11,23.4
2024/07/20 05:36:11,20.77
2024/07/20 05:41:11,24.02
2024/07/20 05:46:11,16.67
2024/07/20 05:51:11,-1
2024/07/20 05:56:10,24.35
2024/07/20 06:01:10,19.13
2024/07/20 06:06:10,18.07
2024/07/20 06:11:10,10.75
2024/07/20 06:16:10,-1
2024/07/20 06:21:10,-1
2024/07/20 06:26:10,21.61
2024/07/20 06:31:10,23.21
2024/07/20 06:36:10,33.11
2024/07/20 06:41:10,17.63
2024/07/20 06:46:10,27.91
2024/07/20 06:51:10,19.7
2024/07/20 06:56:10,23.21
2024/07/20 07:01:10,20.76
2024/07/20 07:06:10,13.78
2024/07/20 07:11:10,22.97
2024/07/20 07:16:10,15.76
2024/07/20 07:21:10,9.82
2024/07/20 07:26:10,21.56
2024/07/20 07:31:10,16.5
2024/07/20 07:36:10,33.63
2024/07/20 07:41:09,19.82
2024/07/20 07:46:09,20.81
2024/07/20 07:51:09,22.02
2024/07/20 07:56:09,25.79
2024/07/20 08:01:09,23.92
2024/07/20 08:06:09,24.26
2024/07/20 08:11:09,20.95
2024/07/20 08:16:09,16.95
2024/07/20 08:21:09,14.79
2024/07/20 08:26:09,25.72
2024/07/20 08:31:08,21.22
2024/07/20 08:36:08,17.87
2024/07/20 08:41:08,18.9
2024/07/20 08:46:08,20.84
2024/07/20 08:51:08,12.26
2024/07/20 08:56:07,15.34
2024/07/20 09:01:07,19
2024/07/20 09:06:07,19.7
2024/07/20 09:11:07,14.3
2024/07/20 09:16:06,20.54
2024/07/20 09:21:05,16.08
2024/07/20 09:26:05,16.14
2024/07/20 09:31:05,18.24
2024/07/20 09:36:05,13.29
2024/07/20 09:41:05,15.88
2024/07/20 09:46:04,-1
2024/07/20 09:51:03,16.64
2024/07/20 09:56:03,10.67
2024/07/20 10:01:02,17.29
2024/07/20 10:06:01,15.29
2024/07/20 10:11:01,12.41
2024/07/20 10:16:01,17
2024/07/20 10:21:01,21.59
2024/07/20 10:26:01,16.72
2024/07/20 10:31:00,17.38
2024/07/20 10:36:00,10.9
2024/07/20 10:41:00,14.86
2024/07/20 10:45:59,-1
2024/07/20 10:50:59,16.02
2024/07/20 10:55:59,15.25
2024/07/20 11:00:59,19.79
2024/07/20 11:05:59,18.27
2024/07/20 11:10:58,27.78
2024/07/20 11:15:58,11.19
2024/07/20 11:20:58,23.96
2024/07/20 11:25:57,13
2024/07/20 11:30:57,17.31
2024/07/20 11:35:57,17.04
2024/07/20 11:40:57,-1
2024/07/20 11:45:57,16.99
2024/07/20 11:50:56,22.81
2024/07/20 11:55:56,21.58
2024/07/20 12:00:55,17.78
2024/07/20 12:05:55,18.82
2024/07/20 12:10:55,24.35
