Timestamp,starlink_download
2024/07/20 00:04:25,87.97
2024/07/20 00:09:25,164.22
2024/07/20 00:14:25,61.14
2024/07/20 00:19:25,52.16
2024/07/20 00:24:25,235.95
2024/07/20 00:29:25,78.64
2024/07/20 00:34:25,68.66
2024/07/20 00:39:25,80.42
2024/07/20 00:44:25,177.52
2024/07/20 00:49:25,37.61
2024/07/20 00:54:25,106.66
2024/07/20 00:59:25,121.09
2024/07/20 01:04:25,66.37
2024/07/20 01:09:25,40.34
2024/07/20 01:14:25,81.67
2024/07/20 01:19:25,204.42
2024/07/20 01:24:25,223.06
2024/07/20 01:29:25,265.22
2024/07/20 01:34:25,208.35
2024/07/20 01:39:25,206.48
2024/07/20 01:44:25,-1
2024/07/20 01:49:25,124.28
2024/07/20 01:54:25,175.27
2024/07/20 01:59:25,148.5
2024/07/20 02:04:25,121.85
2024/07/20 02:09:25,88.84
2024/07/20 02:14:25,181.64
2024/07/20 02:19:25,35.24
2024/07/20 02:24:25,172.56
2024/07/20 02:29:25,227.13
2024/07/20 02:34:25,188.83
2024/07/20 02:39:25,125.17
2024/07/20 02:44:25,323.32
2024/07/20 02:49:24,124.74
2024/07/20 02:54:24,127.43
2024/07/20 02:59:24,174.94
2024/07/20 03:04:24,104.81
2024/07/20 03:09:24,172.73
2024/07/20 03:14:24,225.61
2024/07/20 03:19:23,92.08
2024/07/20 03:24:23,134.72
2024/07/20 03:29:23,168.08
2024/07/20 03:34:23,245.04
2024/07/20 03:39:23,86.77
2024/07/20 03:44:23,142.04
2024/07/20 03:49:23,224.25
2024/07/20 03:54:23,194.73
2024/07/20 03:59:23,121.96
2024/07/20 04:04:23,155.89
2024/07/20 04:09:23,88.66
2024/07/20 04:14:23,166.63
2024/07/20 04:19:23,206.38
2024/07/20 04:24:23,191.69
2024/07/20 04:29:23,126.18
2024/07/20 04:34:23,82.66
2024/07/20 04:39:23,168.73
2024/07/20 04:44:23,255.87
2024/07/20 04:49:23,181.12
2024/07/20 04:54:23,86.61
2024/07/20 04:59:23,216.96
2024/07/20 05:04:23,114.32
2024/07/20 05:09:23,83.73
2024/07/20 05:14:23,278.71
2024/07/20 05:19:22,63.15
2024/07/20 05:24:22,181.3
2024/07/20 05:29:22,94.1
2024/07/20 05:34:22,254.43
2024/07/20 05:39:22,110.11
2024/07/20 05:44:22,78.38
2024/07/20 05:49:22,313.45
2024/07/20 05:54:22,135.52
2024/07/20 05:59:22,102.48
2024/07/20 06:04:22,93.32
2024/07/20 06:09:22,106.89
2024/07/20 06:14:22,91.99
2024/07/20 06:19:22,165.56
2024/07/20 06:24:22,109.95
2024/07/20 06:29:22,105.66
2024/07/20 06:34:21,261.92
2024/07/20 06:39:21,195.64
2024/07/20 06:44:21,98.03
2024/07/20 06:49:21,375.75
2024/07/20 06:54:21,321.81
2024/07/20 06:59:21,241.94
2024/07/20 07:04:21,144.28
2024/07/20 07:09:21,139.82
2024/07/20 07:14:21,79.03
2024/07/20 07:19:21,105.07
2024/07/20 07:24:21,183.42
2024/07/20 07:29:21,107
2024/07/20 07:34:21,193.61
2024/07/20 07:39:21,56.45
2024/07/20 07:44:21,75.38
2024/07/20 07:49:21,88.54
2024/07/20 07:54:21,139.28
2024/07/20 07:59:21,118.16
2024/07/20 08:04:21,-1
2024/07/20 08:09:21,255.1
2024/07/20 08:14:21,92.35
2024/07/20 08:19:21,137.51
2024/07/20 08:24:21,153.79
2024/07/20 08:29:21,110.98
2024/07/20 08:34:21,106.09
2024/07/20 08:39:21,177.17
2024/07/20 08:44:21,74.94
2024/07/20 08:49:21,44.15
2024/07/20 08:54:21,90.76
2024/07/20 08:59:21,103.1
2024/07/20 09:04:21,29.66
2024/07/20 09:09:21,70.25
2024/07/20 09:14:20,125.57
2024/07/20 09:19:20,78.39
2024/07/20 09:24:20,21.67
2024/07/20 09:29:20,74.73
2024/07/20 09:34:20,31.03
2024/07/20 09:39:20,60.37
2024/07/20 09:44:20,69.68
2024/07/20 09:49:20,44.36
2024/07/20 09:54:20,167.98
2024/07/20 09:59:20,91.05
2024/07/20 10:04:20,99.33
2024/07/20 10:09:20,78.88
2024/07/20 10:14:20,82.24
2024/07/20 10:19:20,65.66
2024/07/20 10:24:20,122.01
2024/07/20 10:29:20,102.34
2024/07/20 10:34:20,141.77
2024/07/20 10:39:20,-1
2024/07/20 10:44:20,93.56
2024/07/20 10:49:20,64.1
2024/07/20 10:54:20,27.22
2024/07/20 10:59:20,110.92
2024/07/20 11:04:20,59.64
2024/07/20 11:09:20,26.1
2024/07/20 11:14:20,73.8
2024/07/20 11:19:20,51.07
2024/07/20 11:24:20,171.14
2024/07/20 11:29:20,23.78
2024/07/20 11:34:20,143.55
2024/07/20 11:39:20,57.1
2024/07/20 11:44:20,99.67
2024/07/20 11:49:20,77.35
2024/07/20 11:54:20,168.65
2024/07/20 11:59:20,62.28
2024/07/20 12:04:20,92.05
2024/07/20 12:09:20,305.81
2024/07/20 12:14:20,61.55
2024/07/20 12:19:20,47.32
2024/07/20 12:24:20,89.79
2024/07/20 12:29:20,60.09
2024/07/20 12:34:20,27.94
2024/07/20 12:39:20,127.74
2024/07/20 12:44:20,35.99
2024/07/20 12:49:20,261.08
2024/07/20 12:54:20,70
2024/07/20 12:59:20,172.49
2024/07/20 13:04:20,80.68
2024/07/20 13:09:20,57.09
2024/07/20 13:14:20,100.17
2024/07/20 13:19:20,135.86
2024/07/20 13:24:20,129.06
2024/07/20 13:29:20,99.32
2024/07/20 13:34:20,49.51
2024/07/20 13:39:20,31.83
2024/07/20 13:44:20,27.3
2024/07/20 13:49:20,118.63
2024/07/20 13:54:20,42.65
2024/07/20 13:59:20,22.47
2024/07/20 14:04:20,71.66
2024/07/20 14:09:20,10.11
2024/07/20 14:14:20,38.25
2024/07/20 14:19:20,93.51
2024/07/20 14:24:20,125.21
2024/07/20 14:29:20,85.28
2024/07/20 14:34:20,56.14
2024/07/20 14:39:20,62.24
2024/07/20 14:44:20,116.04
2024/07/20 14:49:20,84.04
2024/07/20 14:54:20,8.19
2024/07/20 14:59:20,79.93
2024/07/20 15:04:20,120.25
2024/07/20 15:09:20,44.15
2024/07/20 15:14:20,54.76
2024/07/20 15:19:20,59.61
2024/07/20 15:24:20,73.78
2024/07/20 15:29:20,88.84
2024/07/20 15:34:20,121.79
2024/07/20 15:39:20,43.99
2024/07/20 15:44:20,77.44
2024/07/20 15:49:20,77.12
2024/07/20 15:54:20,45.7
2024/07/20 15:59:20,63.32
2024/07/20 16:04:20,136.78
2024/07/20 16:09:20,39.22
2024/07/20 16:14:20,111.16
2024/07/20 16:19:20,58.52
2024/07/20 16:24:20,130.71
2024/07/20 16:29:20,37.96
2024/07/20 16:34:20,58.56
2024/07/20 16:39:20,62.53
2024/07/20 16:44:20,54.11
2024/07/20 16:49:20,65.97
2024/07/20 16:54:20,54.86
2024/07/20 16:59:20,73.66
2024/07/20 17:04:20,89.59
2024/07/20 17:09:20,153.58
2024/07/20 17:14:20,61.29
2024/07/20 17:19:20,168.05
2024/07/20 17:24:20,52.14
2024/07/20 17:29:20,-1
2024/07/20 17:34:20,123.82
2024/07/20 17:39:20,153.13
2024/07/20 17:44:20,48.32
2024/07/20 17:49:20,72.18
2024/07/20 17:54:20,60.25
2024/07/20 17:59:20,94.65
2024/07/20 18:04:20,168.03
2024/07/20 18:09:20,68.29
2024/07/20 18:14:20,60.73
2024/07/20 18:19:20,206.7
2024/07/20 18:24:20,68.6
2024/07/20 18:29:20,32.96
2024/07/20 18:34:20,46.08
2024/07/20 18:39:20,179.5
2024/07/20 18:44:20,55.96
2024/07/20 18:49:20,11.49
2024/07/20 18:54:20,63.17
2024/07/20 18:59:20,35.65
2024/07/20 19:04:20,57.4
2024/07/20 19:09:20,66.68
2024/07/20 19:14:20,49.68
2024/07/20 19:19:20,93.01
2024/07/20 19:24:20,28.32
2024/07/20 19:29:20,46.73
2024/07/20 19:34:20,36.34
2024/07/20 19:39:20,49.56
2024/07/20 19:44:20,27.65
2024/07/20 19:49:20,76.85
2024/07/20 19:54:20,-1
2024/07/20 19:59:20,47.99
2024/07/20 20:04:20,96.6
2024/07/20 20:09:20,18.17
2024/07/20 20:14:20,17
2024/07/20 20:19:20,58.68
2024/07/20 20:24:20,35.72
2024/07/20 20:29:20,29.66
2024/07/20 20:34:20,25.44
2024/07/20 20:39:20,50.34
2024/07/20 20:44:20,57.01
2024/07/20 20:49:20,23.87
2024/07/20 20:54:20,31.17
2024/07/20 20:59:20,55.37
2024/07/20 21:04:20,17.18
2024/07/20 21:09:20,62.64
2024/07/20 21:14:20,13.44
2024/07/20 21:19:20,49.26
2024/07/20 21:24:20,13.83
2024/07/20 21:29:20,37.44
2024/07/20 21:34:20,22.7
2024/07/20 21:39:20,103.31
2024/07/20 21:44:20,19.86
2024/07/20 21:49:20,57.48
2024/07/20 21:54:20,82.87
2024/07/20 21:59:20,75.31
2024/07/20 22:04:20,39.94
2024/07/20 22:09:20,7.48
2024/07/20 22:14:20,28.59
2024/07/20 22:19:20,31.86
2024/07/20 22:24:20,20.57
2024/07/20 22:29:20,29.56
2024/07/20 22:34:20,33.67
2024/07/20 22:39:20,24.44
2024/07/20 22:44:20,56.01
2024/07/20 22:49:20,40.92
2024/07/20 22:54:20,50.9
2024/07/20 22:59:20,99.16
2024/07/20 23:04:20,101.93
2024/07/20 23:09:20,49.55
2024/07/20 23:14:20,27.42
2024/07/20 23:19:20,101.98
2024/07/20 23:24:20,67.44
2024/07/20 23:29:20,69.38
2024/07/20 23:34:20,90.87
2024/07/20 23:39:20,44.3
2024/07/20 23:44:20,100.92
2024/07/20 23:49:20,31.66
2024/07/20 23:54:20,107.1
2024/07/20 23:59:20,75.32
