Timestamp,centurylink_download
2024/07/21 00:02:01,14.8
2024/07/21 00:07:00,14.72
2024/07/21 00:11:59,15.27
2024/07/21 00:16:59,15.44
2024/07/21 00:21:59,15.73
2024/07/21 00:26:59,16.23
2024/07/21 00:31:59,15.66
2024/07/21 00:36:59,14.6
2024/07/21 00:41:59,16.13
2024/07/21 00:46:59,15.16
2024/07/21 00:51:59,16.86
2024/07/21 00:56:59,16.05
2024/07/21 01:01:59,16.21
2024/07/21 01:06:59,13
2024/07/21 01:11:59,15.44
2024/07/21 01:16:59,16.45
2024/07/21 01:21:58,13.94
2024/07/21 01:26:58,15.81
2024/07/21 01:31:58,16.56
2024/07/21 01:36:58,15.11
2024/07/21 01:41:58,16.38
2024/07/21 01:46:58,16.19
2024/07/21 01:51:58,14.32
2024/07/21 01:56:58,16.22
2024/07/21 02:01:58,15.3
2024/07/21 02:06:58,16.11
2024/07/21 02:11:58,15.54
2024/07/21 02:16:57,16.16
2024/07/21 02:21:57,15.18
2024/07/21 02:26:57,15.45
2024/07/21 02:31:57,16.17
2024/07/21 02:36:57,16.28
2024/07/21 02:41:57,16.11
2024/07/21 02:46:57,15.44
2024/07/21 02:51:57,15.31
2024/07/21 02:56:57,15.55
2024/07/21 03:01:57,15.77
2024/07/21 03:06:57,15.01
2024/07/21 03:11:57,14.67
2024/07/21 03:16:57,15.56
2024/07/21 03:21:56,15.38
2024/07/21 03:26:56,7.54
2024/07/21 03:31:55,15.82
2024/07/21 03:36:54,15.56
2024/07/21 03:41:54,15.76
2024/07/21 03:46:53,15.27
2024/07/21 03:51:53,16.2
2024/07/21 03:56:53,15.7
2024/07/21 04:01:53,16.24
2024/07/21 04:06:53,14.28
2024/07/21 04:11:52,16.3
2024/07/21 04:16:51,15.85
2024/07/21 04:21:51,16.73
2024/07/21 04:26:51,16.49
2024/07/21 04:31:51,16.6
2024/07/21 04:36:50,16.4
2024/07/21 04:41:50,15.87
2024/07/21 04:46:50,15.83
2024/07/21 04:51:50,15.27
2024/07/21 04:56:50,15.85
2024/07/21 05:01:50,15.86
2024/07/21 05:06:50,16.21
2024/07/21 05:11:50,15.74
2024/07/21 05:16:50,16.03
2024/07/21 05:21:50,16.43
2024/07/21 05:26:49,16.54
2024/07/21 05:31:49,16.69
2024/07/21 05:36:49,15.97
2024/07/21 05:41:49,15.74
2024/07/21 05:46:49,16.46
2024/07/21 05:51:49,15.94
2024/07/21 05:56:49,15.68
2024/07/21 06:01:49,16.68
2024/07/21 06:06:49,15.89
2024/07/21 06:11:48,15.52
2024/07/21 06:16:47,14.74
2024/07/21 06:21:47,16.27
2024/07/21 06:26:47,15.6
2024/07/21 06:31:47,17.01
2024/07/21 06:36:47,15.13
2024/07/21 06:41:47,15.86
2024/07/21 06:46:47,15.63
2024/07/21 06:51:47,15.58
2024/07/21 06:56:47,15.78
2024/07/21 07:01:47,16.2
2024/07/21 07:06:47,14.86
2024/07/21 07:11:46,15.47
2024/07/21 07:16:46,15.24
2024/07/21 07:21:46,15.21
2024/07/21 07:26:46,16.19
2024/07/21 07:31:46,15.64
2024/07/21 07:36:45,14.36
2024/07/21 07:41:45,15.89
2024/07/21 07:46:45,16.05
2024/07/21 07:51:45,15.68
2024/07/21 07:56:45,15.81
2024/07/21 08:01:45,16.22
2024/07/21 08:06:45,16.22
2024/07/21 08:11:45,16.1
2024/07/21 08:16:45,16.43
2024/07/21 08:21:45,16.04
2024/07/21 08:26:45,15.84
2024/07/21 08:31:45,14.81
2024/07/21 08:36:45,15.74
2024/07/21 08:41:45,16.06
2024/07/21 08:46:45,16.08
2024/07/21 08:51:44,16.44
2024/07/21 08:56:44,15.58
2024/07/21 09:01:44,16.67
2024/07/21 09:06:44,15.86
2024/07/21 09:11:44,16.72
2024/07/21 09:16:44,16.23
2024/07/21 09:21:44,16.01
2024/07/21 09:26:44,12.9
2024/07/21 09:31:44,12.38
2024/07/21 09:36:44,13.22
2024/07/21 09:41:43,13.6
2024/07/21 09:46:43,14.11
2024/07/21 09:51:42,13.2
2024/07/21 09:56:42,12.67
2024/07/21 10:01:42,12.6
2024/07/21 10:06:42,12.34
2024/07/21 10:11:41,12.42
2024/07/21 10:16:40,12.72
2024/07/21 10:21:39,11.88
2024/07/21 10:26:39,12.39
2024/07/21 10:31:38,11.86
2024/07/21 10:36:37,11.66
2024/07/21 10:41:36,12.31
2024/07/21 10:46:35,12.31
2024/07/21 10:51:34,12.63
2024/07/21 10:56:34,11.76
2024/07/21 11:01:34,11.17
2024/07/21 11:06:34,11.77
2024/07/21 11:11:34,12.44
2024/07/21 11:16:34,13.23
2024/07/21 11:21:34,12.37
2024/07/21 11:26:34,13.08
2024/07/21 11:31:34,12.47
2024/07/21 11:36:34,13.18
2024/07/21 11:41:34,12.78
2024/07/21 11:46:34,12.51
2024/07/21 11:51:33,13.03
2024/07/21 11:56:33,12.03
2024/07/21 12:01:33,12.84
2024/07/21 12:06:32,13.12
2024/07/21 12:11:32,12.58
2024/07/21 12:16:32,12.96
2024/07/21 12:21:32,12.41
2024/07/21 12:26:32,10.98
2024/07/21 12:31:32,12.4
2024/07/21 12:36:32,12.49
2024/07/21 12:41:32,11.98
2024/07/21 12:46:31,11.97
2024/07/21 12:51:31,12.48
2024/07/21 12:56:31,10.93
2024/07/21 13:01:31,11.38
2024/07/21 13:06:31,11.73
2024/07/21 13:11:31,11.65
2024/07/21 13:16:30,12.91
2024/07/21 13:21:30,12.4
2024/07/21 13:26:30,12.37
2024/07/21 13:31:30,12.15
2024/07/21 13:36:30,12.2
2024/07/21 13:41:30,12.26
2024/07/21 13:46:30,11.89
2024/07/21 13:51:30,12.47
2024/07/21 13:56:30,12.42
2024/07/21 14:01:30,12.24
2024/07/21 14:06:30,12.09
2024/07/21 14:11:30,11.58
2024/07/21 14:16:30,13.04
2024/07/21 14:21:30,11.88
2024/07/21 14:26:30,12.34
2024/07/21 14:31:30,11.27
2024/07/21 14:36:30,12.48
2024/07/21 14:41:30,12.76
2024/07/21 14:46:30,12.78
2024/07/21 14:51:30,12.93
2024/07/21 14:56:30,12.85
2024/07/21 15:01:30,12.39
2024/07/21 15:06:30,12.22
2024/07/21 15:11:30,12.03
2024/07/21 15:16:30,13.09
2024/07/21 15:21:29,12.08
2024/07/21 15:26:29,14.07
2024/07/21 15:31:29,12.88
2024/07/21 15:36:29,12.32
2024/07/21 15:41:29,10.24
2024/07/21 15:46:29,12.33
2024/07/21 15:51:29,11.91
2024/07/21 15:56:28,12.32
2024/07/21 16:01:28,9.96
2024/07/21 16:06:28,9.52
2024/07/21 16:11:28,9.19
2024/07/21 16:16:28,9.35
2024/07/21 16:21:27,9.22
2024/07/21 16:26:27,8.65
2024/07/21 16:31:27,8.45
2024/07/21 16:36:26,9.48
2024/07/21 16:41:26,8.87
2024/07/21 16:46:26,10.12
2024/07/21 16:51:26,9.57
2024/07/21 16:56:26,10.03
2024/07/21 17:01:25,7.93
2024/07/21 17:06:25,9.42
2024/07/21 17:11:25,10.33
2024/07/21 17:16:25,10.29
2024/07/21 17:21:25,9.99
2024/07/21 17:26:24,9.92
2024/07/21 17:31:24,10.89
2024/07/21 17:36:23,11.88
2024/07/21 17:41:22,9.88
2024/07/21 17:46:22,11.88
2024/07/21 17:51:22,8.6
2024/07/21 17:56:22,11.63
2024/07/21 18:01:22,11.91
2024/07/21 18:06:22,10.95
2024/07/21 18:11:22,12.19
2024/07/21 18:16:22,10.45
2024/07/21 18:21:22,11.51
2024/07/21 18:26:22,12.08
2024/07/21 18:31:22,11.23
2024/07/21 18:36:22,11.09
2024/07/21 18:41:22,12.35
2024/07/21 18:46:22,11.25
2024/07/21 18:51:22,12.42
2024/07/21 18:56:22,12.47
2024/07/21 19:01:22,12.25
2024/07/21 19:06:22,12.47
2024/07/21 19:11:22,12.22
2024/07/21 19:16:21,12.37
2024/07/21 19:21:21,7.14
2024/07/21 19:26:20,12.65
2024/07/21 19:31:20,11.74
2024/07/21 19:36:20,13.65
2024/07/21 19:41:19,13.24
2024/07/21 19:46:19,13.25
2024/07/21 19:51:18,10.74
2024/07/21 19:56:17,11.82
2024/07/21 20:01:16,10.59
2024/07/21 20:06:15,11.49
2024/07/21 20:11:14,11.58
2024/07/21 20:16:13,11.86
2024/07/21 20:21:13,11.1
2024/07/21 20:26:13,11.19
2024/07/21 20:31:13,11.37
2024/07/21 20:36:13,11.21
2024/07/21 20:41:12,11.22
2024/07/21 20:46:11,10.81
2024/07/21 20:51:11,9.82
2024/07/21 20:56:11,10.38
2024/07/21 21:01:11,10.58
2024/07/21 21:06:10,11.38
2024/07/21 21:11:10,11.67
2024/07/21 21:16:09,11.8
2024/07/21 21:21:09,11.85
2024/07/21 21:26:09,12.07
2024/07/21 21:31:09,12
2024/07/21 21:36:09,11.27
2024/07/21 21:41:09,11.17
2024/07/21 21:46:09,10.9
2024/07/21 21:51:09,11.42
2024/07/21 21:56:09,12.16
2024/07/21 22:01:09,11.65
2024/07/21 22:06:09,12.18
2024/07/21 22:11:09,13.47
2024/07/21 22:16:09,11.8
2024/07/21 22:21:09,12.37
2024/07/21 22:26:08,11.37
2024/07/21 22:31:08,11.31
2024/07/21 22:36:08,11.69
2024/07/21 22:41:08,11.72
2024/07/21 22:46:08,12.36
2024/07/21 22:51:08,13.04
2024/07/21 22:56:08,11.92
2024/07/21 23:01:08,11.51
2024/07/21 23:06:08,12.43
2024/07/21 23:11:08,13.13
2024/07/21 23:16:08,13.78
2024/07/21 23:21:08,13.4
2024/07/21 23:26:08,12.27
2024/07/21 23:31:07,11.93
2024/07/21 23:36:06,11.63
2024/07/21 23:41:06,11.83
2024/07/21 23:46:06,14.77
2024/07/21 23:51:06,15.1
2024/07/21 23:56:05,14.67
