Timestamp,office_latency
2024/07/18 12:18:03,9
2024/07/18 12:18:04,8
2024/07/18 12:18:04,9
2024/07/18 12:18:05,9
2024/07/18 12:18:05,8
2024/07/18 12:18:06,8
2024/07/18 12:18:07,8
2024/07/18 12:18:07,8
2024/07/18 12:18:08,8
2024/07/18 12:18:09,8
2024/07/18 12:18:09,8
2024/07/18 12:18:10,8
2024/07/18 12:18:11,8
2024/07/18 12:18:12,8
2024/07/18 12:18:12,9
2024/07/18 12:18:13,8
2024/07/18 12:18:14,9
2024/07/18 12:18:15,9
2024/07/18 12:18:16,8
2024/07/18 12:18:17,9
2024/07/18 12:18:18,8
2024/07/18 12:18:19,9
2024/07/18 12:18:19,9
2024/07/18 12:18:20,8
2024/07/18 12:18:21,8
2024/07/18 12:18:21,8
2024/07/18 12:18:22,8
2024/07/18 12:18:22,8
2024/07/18 12:18:23,8
2024/07/18 12:18:23,8
2024/07/18 12:18:24,8
2024/07/18 12:18:24,9
2024/07/18 12:18:25,9
2024/07/18 12:18:25,9
2024/07/18 12:18:26,8
2024/07/18 12:18:27,9
2024/07/18 12:18:28,9
2024/07/18 12:18:29,8
2024/07/18 12:18:30,8
2024/07/18 12:18:30,8
2024/07/18 12:18:31,8
2024/07/18 12:18:31,8
2024/07/18 12:18:32,8
2024/07/18 12:18:32,8
2024/07/18 12:18:33,8
2024/07/18 12:18:34,8
2024/07/18 12:18:35,8
2024/07/18 12:18:36,8
2024/07/18 12:18:36,9
2024/07/18 12:18:37,8
2024/07/18 12:18:37,8
2024/07/18 12:18:38,8
2024/07/18 12:18:39,8
2024/07/18 12:18:39,8
2024/07/18 12:18:39,8
2024/07/18 12:18:40,8
2024/07/18 12:18:41,8
2024/07/18 12:18:41,8
2024/07/18 12:18:42,8
2024/07/18 12:18:43,8
2024/07/18 12:18:44,8
2024/07/18 12:18:44,9
2024/07/18 12:18:45,9
2024/07/18 12:18:46,9
2024/07/18 12:18:47,9
2024/07/18 12:18:47,9
2024/07/18 12:18:48,9
2024/07/18 12:18:48,9
2024/07/18 12:18:49,9
2024/07/18 12:18:50,9
2024/07/18 12:18:50,9
2024/07/18 12:18:51,9
2024/07/18 12:18:51,9
2024/07/18 12:18:52,9
2024/07/18 12:18:53,9
2024/07/18 12:18:53,9
2024/07/18 12:18:54,18
2024/07/18 12:18:55,9
2024/07/18 12:18:56,9
2024/07/18 12:18:57,9
2024/07/18 12:18:58,9
2024/07/18 12:18:59,9
2024/07/18 12:19:00,9
2024/07/18 12:19:01,9
2024/07/18 12:19:01,9
2024/07/18 12:19:02,9
2024/07/18 12:19:03,9
2024/07/18 12:19:04,9
2024/07/18 12:19:05,9
2024/07/18 12:19:06,9
2024/07/18 12:19:07,9
2024/07/18 12:19:08,9
2024/07/18 12:19:08,9
2024/07/18 12:19:09,9
2024/07/18 12:19:10,9
2024/07/18 12:19:11,9
2024/07/18 12:19:11,9
2024/07/18 12:19:12,9
2024/07/18 12:19:13,9
2024/07/18 12:19:13,9
2024/07/18 12:19:14,9
2024/07/18 12:19:15,9
2024/07/18 12:19:15,9
2024/07/18 12:19:16,9
2024/07/18 12:19:17,9
2024/07/18 12:19:17,9
2024/07/18 12:19:18,9
2024/07/18 12:19:18,9
2024/07/18 12:19:19,9
2024/07/18 12:19:19,9
2024/07/18 12:19:20,9
2024/07/18 12:19:21,9
2024/07/18 12:19:22,9
2024/07/18 12:19:22,9
2024/07/18 12:19:23,9
2024/07/18 12:19:23,9
2024/07/18 12:19:24,9
2024/07/18 12:19:25,9
2024/07/18 12:19:26,9
2024/07/18 12:19:27,9
2024/07/18 12:19:27,9
2024/07/18 12:19:28,9
2024/07/18 12:19:29,9
2024/07/18 12:19:30,9
2024/07/18 12:19:30,9
2024/07/18 12:19:31,9
2024/07/18 12:19:32,9
2024/07/18 12:19:33,9
2024/07/18 12:19:33,9
2024/07/18 12:19:34,9
2024/07/18 12:19:35,9
2024/07/18 12:19:36,9
2024/07/18 12:19:36,9
2024/07/18 12:19:37,8
2024/07/18 12:19:38,9
2024/07/18 12:19:39,9
2024/07/18 12:19:39,9
2024/07/18 12:19:40,9
2024/07/18 12:19:40,9
2024/07/18 12:19:41,9
2024/07/18 12:19:41,9
2024/07/18 12:19:42,9
2024/07/18 12:19:43,9
2024/07/18 12:19:44,9
2024/07/18 12:19:45,9
2024/07/18 12:19:46,9
2024/07/18 12:19:47,9
2024/07/18 12:19:48,9
2024/07/18 12:19:48,9
2024/07/18 12:19:49,9
2024/07/18 12:19:50,9
2024/07/18 12:19:51,9
2024/07/18 12:19:51,9
2024/07/18 12:19:52,9
2024/07/18 12:19:52,9
2024/07/18 12:19:53,9
2024/07/18 12:19:54,9
2024/07/18 12:19:55,9
2024/07/18 12:19:56,9
2024/07/18 12:19:57,9
2024/07/18 12:19:58,9
2024/07/18 12:19:59,9
2024/07/18 12:19:59,9
2024/07/18 12:20:00,9
2024/07/18 12:20:00,9
2024/07/18 12:20:01,9
2024/07/18 12:20:01,9
2024/07/18 12:20:02,9
2024/07/18 12:20:02,9
2024/07/18 12:20:03,9
2024/07/18 12:20:03,9
2024/07/18 12:20:04,9
2024/07/18 12:20:05,9
2024/07/18 12:20:05,9
2024/07/18 12:20:06,9
2024/07/18 12:20:07,9
2024/07/18 12:20:07,9
2024/07/18 12:20:08,15
2024/07/18 12:20:08,9
2024/07/18 12:20:09,9
2024/07/18 12:20:10,9
2024/07/18 12:20:11,9
2024/07/18 12:20:12,9
2024/07/18 12:20:12,9
2024/07/18 12:20:13,9
2024/07/18 12:20:13,9
2024/07/18 12:20:14,9
2024/07/18 12:20:14,9
2024/07/18 12:20:15,9
2024/07/18 12:20:16,9
2024/07/18 12:20:16,9
2024/07/18 12:20:17,9
2024/07/18 12:20:17,9
2024/07/18 12:20:18,9
2024/07/18 12:20:19,9
2024/07/18 12:20:20,9
2024/07/18 12:20:21,9
2024/07/18 12:20:22,9
2024/07/18 12:20:23,9
2024/07/18 12:20:23,9
2024/07/18 12:20:24,9
2024/07/18 12:20:25,9
2024/07/18 12:20:25,9
2024/07/18 12:20:26,9
2024/07/18 12:20:27,9
2024/07/18 12:20:27,9
2024/07/18 12:20:28,9
2024/07/18 12:20:29,9
2024/07/18 12:20:30,9
2024/07/18 12:20:31,9
2024/07/18 12:20:31,9
2024/07/18 12:20:32,9
2024/07/18 12:20:32,9
2024/07/18 12:20:33,9
2024/07/18 12:20:33,10
2024/07/18 12:20:34,9
2024/07/18 12:20:35,9
2024/07/18 12:20:35,9
2024/07/18 12:20:36,9
2024/07/18 12:20:37,9
2024/07/18 12:20:38,9
2024/07/18 12:20:38,9
2024/07/18 12:20:39,9
2024/07/18 12:20:40,9
2024/07/18 12:20:40,9
2024/07/18 12:20:41,9
2024/07/18 12:20:42,9
2024/07/18 12:20:43,9
2024/07/18 12:20:44,9
2024/07/18 12:20:45,9
2024/07/18 12:20:45,37
2024/07/18 12:20:46,31
2024/07/18 12:20:46,30
2024/07/18 12:20:47,24
2024/07/18 12:20:47,35
2024/07/18 12:20:48,35
2024/07/18 12:20:49,34
2024/07/18 12:20:50,50
2024/07/18 12:20:50,50
2024/07/18 12:20:51,51
2024/07/18 12:20:51,51
2024/07/18 12:20:52,51
2024/07/18 12:20:53,52
2024/07/18 12:20:54,52
