Timestamp,tmobile_latency
2024/07/22 17:50:20,-1
2024/07/29 10:33:48,-1
2024/07/29 10:33:49,-1
2024/07/29 10:33:50,-1
2024/07/29 10:33:51,-1
2024/07/29 10:33:52,-1
2024/07/29 10:33:53,-1
2024/07/29 10:33:54,-1
2024/07/29 10:33:55,-1
2024/07/29 10:33:56,-1
2024/07/29 10:33:57,-1
2024/07/29 10:33:58,-1
2024/07/29 10:33:59,-1
2024/07/29 10:34:00,-1
2024/07/29 10:34:01,-1
2024/07/29 10:34:02,-1
2024/07/29 10:34:03,-1
2024/07/29 10:34:04,-1
2024/07/29 10:34:05,-1
2024/07/29 10:34:06,-1
2024/07/29 10:34:07,-1
2024/07/29 10:34:08,-1
2024/07/29 10:34:09,-1
2024/07/29 10:34:10,-1
2024/07/29 10:34:11,-1
2024/07/29 10:34:12,-1
2024/07/29 10:34:13,-1
2024/07/29 10:34:14,13
2024/07/29 10:34:18,10
2024/07/29 10:34:19,196
2024/07/29 10:34:20,12
2024/07/29 10:34:21,13
2024/07/29 10:34:22,31
2024/07/29 10:34:23,29
2024/07/29 10:34:24,28
2024/07/29 10:34:25,33
2024/07/29 10:34:26,75
2024/07/29 10:34:27,309
2024/07/29 10:34:28,36
2024/07/29 10:34:29,299
2024/07/29 10:34:30,981
2024/07/29 10:34:31,330
2024/07/29 10:34:32,78
2024/07/29 10:34:33,75
2024/07/29 10:34:34,25
2024/07/29 10:34:35,10
2024/07/29 10:34:36,-1
2024/07/29 10:34:41,18
2024/07/29 10:34:42,84
2024/07/29 10:34:43,58
2024/07/29 10:34:44,66
2024/07/29 10:34:45,69
2024/07/29 10:34:46,78
2024/07/29 10:34:47,200
2024/07/29 10:34:48,101
2024/07/29 10:34:49,61
2024/07/29 10:34:52,58
2024/07/29 10:34:53,27
2024/07/29 10:34:54,48
2024/07/29 10:34:55,43
2024/07/29 10:34:56,163
2024/07/29 10:34:57,57
2024/07/29 10:34:58,161
2024/07/29 10:34:59,246
2024/07/29 10:35:00,173
2024/07/29 10:35:01,213
2024/07/29 10:35:02,252
2024/07/29 10:35:03,240
2024/07/29 10:35:04,186
2024/07/29 10:35:05,397
2024/07/29 10:35:06,391
2024/07/29 10:35:07,512
2024/07/29 10:35:08,676
2024/07/29 10:35:09,427
2024/07/29 10:35:10,971
2024/07/29 10:35:11,973
2024/07/29 10:35:12,493
2024/07/29 10:35:13,301
2024/07/29 10:35:14,370
2024/07/29 10:35:15,307
2024/07/29 10:35:16,250
2024/07/29 10:35:17,245
2024/07/29 10:35:18,361
2024/07/29 10:35:19,619
2024/07/29 10:35:20,388
2024/07/29 10:35:21,368
2024/07/29 10:35:22,414
2024/07/29 10:35:23,349
2024/07/29 10:35:24,470
2024/07/29 10:35:25,356
2024/07/29 10:35:26,532
2024/07/29 10:35:27,14
2024/07/29 10:35:28,19
2024/07/29 10:35:29,112
2024/07/29 10:35:30,19
2024/07/29 10:35:31,15
2024/07/29 10:35:32,11
2024/07/29 10:35:33,20
2024/07/29 10:35:34,38
2024/07/29 10:35:35,27
2024/07/29 10:35:36,26
2024/07/29 10:35:37,30
2024/07/29 10:35:38,31
2024/07/29 10:35:39,58
2024/07/29 10:35:40,19
2024/07/29 10:35:41,28
2024/07/29 10:35:42,191
2024/07/29 10:35:43,201
2024/07/29 10:35:44,-1
2024/07/29 10:35:48,69
2024/07/29 10:35:49,38
2024/07/29 10:35:50,21
2024/07/29 10:35:51,28
2024/07/29 10:35:52,17
2024/07/29 10:35:53,16
2024/07/29 10:35:54,52
2024/07/29 10:35:55,29
2024/07/29 10:35:56,25
2024/07/29 10:35:57,60
2024/07/29 10:35:58,55
2024/07/29 10:35:59,47
2024/07/29 10:36:00,84
2024/07/29 10:36:01,38
2024/07/29 10:36:02,46
2024/07/29 10:36:03,26
2024/07/29 10:36:04,45
2024/07/29 10:36:05,14
2024/07/29 10:36:06,12
2024/07/29 10:36:07,27
2024/07/29 10:36:08,19
2024/07/29 10:36:09,15
2024/07/29 10:36:10,14
2024/07/29 10:36:11,45
2024/07/29 10:36:12,14
2024/07/29 10:36:13,38
2024/07/29 10:36:14,37
2024/07/29 10:36:15,30
2024/07/29 10:36:16,22
2024/07/29 10:36:17,17
2024/07/29 10:36:18,25
2024/07/29 10:36:19,23
2024/07/29 10:36:20,14
2024/07/29 10:36:21,16
2024/07/29 10:36:22,21
2024/07/29 10:36:23,21
2024/07/29 10:36:24,28
2024/07/29 10:36:25,21
2024/07/29 10:36:26,18
2024/07/29 10:36:27,15
2024/07/29 10:36:28,17
2024/07/29 10:36:29,24
2024/07/29 10:36:30,17
2024/07/29 10:36:31,13
2024/07/29 10:36:32,13
2024/07/29 10:36:33,19
2024/07/29 10:36:34,15
2024/07/29 10:36:35,28
2024/07/29 10:36:36,17
2024/07/29 10:36:37,24
2024/07/29 10:36:38,24
2024/07/29 10:36:39,22
2024/07/29 10:36:40,27
2024/07/29 10:36:41,26
2024/07/29 10:36:42,15
2024/07/29 10:36:43,12
2024/07/29 10:36:44,21
2024/07/29 10:36:45,22
2024/07/29 10:36:46,26
2024/07/29 10:36:47,17
2024/07/29 10:36:48,10
2024/07/29 10:36:49,21
2024/07/29 10:36:50,25
2024/07/29 10:36:51,16
2024/07/29 10:36:52,11
2024/07/29 10:36:53,9
2024/07/29 10:36:54,17
2024/07/29 10:36:55,9
2024/07/29 10:36:56,10
2024/07/29 10:36:57,9
2024/07/29 10:36:58,9
2024/07/29 10:36:59,9
2024/07/29 10:37:00,10
2024/07/29 10:37:01,17
2024/07/29 10:37:02,12
2024/07/29 10:37:03,9
2024/07/29 10:37:04,11
2024/07/29 10:37:05,10
2024/07/29 10:37:06,10
2024/07/29 10:37:07,13
2024/07/29 10:37:08,9
2024/07/29 10:37:09,11
2024/07/29 10:37:10,11
2024/07/29 10:37:11,11
2024/07/29 10:37:12,10
2024/07/29 10:37:13,10
2024/07/29 10:37:14,14
2024/07/29 10:37:15,10
2024/07/29 10:37:16,10
2024/07/29 10:37:17,26
2024/07/29 10:37:18,14
2024/07/29 10:37:19,17
2024/07/29 10:37:20,12
2024/07/29 10:37:21,12
2024/07/29 10:37:22,12
2024/07/29 10:37:23,17
2024/07/29 10:37:24,14
2024/07/29 10:37:25,10
2024/07/29 10:37:26,9
2024/07/29 10:37:27,12
2024/07/29 10:37:28,10
2024/07/29 10:37:29,13
2024/07/29 10:37:30,16
2024/07/29 10:37:31,10
2024/07/29 10:37:32,10
2024/07/29 10:37:33,16
2024/07/29 10:37:34,10
2024/07/29 10:37:35,11
2024/07/29 10:37:36,12
2024/07/29 10:37:37,11
2024/07/29 10:37:38,9
2024/07/29 10:37:39,10
2024/07/29 10:37:40,124
2024/07/29 10:37:41,54
2024/07/29 10:37:42,-1
2024/07/29 10:37:46,56
2024/07/29 10:37:47,35
2024/07/29 10:37:48,14
