Timestamp,tmobile_download
2024/07/21 23:59:33,13.79
2024/07/22 00:04:33,-1
2024/07/22 00:09:33,20.04
2024/07/22 00:14:32,28.66
2024/07/22 00:19:32,31.81
2024/07/22 00:24:32,25
2024/07/22 00:29:31,27.01
2024/07/22 00:34:31,34.17
2024/07/22 00:39:31,23.45
2024/07/22 00:44:31,25.71
2024/07/22 00:49:31,32.5
2024/07/22 00:54:30,23.81
2024/07/22 00:59:30,22.79
2024/07/22 01:04:30,16.97
2024/07/22 01:09:29,8.49
2024/07/22 01:14:29,22.85
2024/07/22 01:19:29,29.61
2024/07/22 01:24:28,32.95
2024/07/22 01:29:28,30.02
2024/07/22 01:34:27,30.1
2024/07/22 01:39:27,23.78
2024/07/22 01:44:27,24.46
2024/07/22 01:49:27,14.35
2024/07/22 01:54:27,21.46
2024/07/22 01:59:27,9.12
2024/07/22 02:04:27,20.07
2024/07/22 02:09:27,24.12
2024/07/22 02:14:27,29.71
2024/07/22 02:19:27,16.04
2024/07/22 02:24:26,21.35
2024/07/22 02:29:26,26.71
2024/07/22 02:34:26,28.7
2024/07/22 02:39:26,15.77
2024/07/22 02:44:26,24.15
2024/07/22 02:49:26,18.51
2024/07/22 02:54:26,17.97
2024/07/22 02:59:26,18.66
2024/07/22 03:04:26,22.85
2024/07/22 03:09:26,26.3
2024/07/22 03:14:26,18.02
2024/07/22 03:19:25,37.23
2024/07/22 03:24:24,20.55
2024/07/22 03:29:23,22.21
2024/07/22 03:34:22,-1
2024/07/22 03:39:22,18.74
2024/07/22 03:44:22,15.16
2024/07/22 03:49:22,17.82
2024/07/22 03:54:22,19.28
2024/07/22 03:59:22,21.99
2024/07/22 04:04:21,25.43
2024/07/22 04:09:21,27.02
2024/07/22 04:14:21,31.84
2024/07/22 04:19:20,33.01
2024/07/22 04:24:20,22.89
2024/07/22 04:29:20,18.21
2024/07/22 04:34:20,19.17
2024/07/22 04:39:20,19.16
2024/07/22 04:44:20,18.55
2024/07/22 04:49:20,17.49
2024/07/22 04:54:20,16.64
2024/07/22 04:59:20,31.4
2024/07/22 05:04:20,22.46
2024/07/22 05:09:19,15.64
2024/07/22 05:14:19,22.07
2024/07/22 05:19:18,19.77
2024/07/22 05:24:17,21.95
2024/07/22 05:29:17,28.2
2024/07/22 05:34:17,17.12
2024/07/22 05:39:17,27.56
2024/07/22 05:44:17,25.64
2024/07/22 05:49:17,11.1
2024/07/22 05:54:16,15
2024/07/22 05:59:16,17.72
2024/07/22 06:04:16,22.32
2024/07/22 06:09:16,21.2
2024/07/22 06:14:15,22.15
2024/07/22 06:19:15,20.94
2024/07/22 06:24:15,36.07
2024/07/22 06:29:14,21.08
2024/07/22 06:34:14,11.96
2024/07/22 06:39:14,13.61
2024/07/22 06:44:14,19
2024/07/22 06:49:13,30.95
2024/07/22 06:54:12,26.82
2024/07/22 06:59:12,28.5
2024/07/22 07:04:11,17.4
2024/07/22 07:09:11,26.75
2024/07/22 07:14:11,23.28
2024/07/22 07:19:11,24.34
2024/07/22 07:24:11,11.69
2024/07/22 07:29:11,15.78
2024/07/22 07:34:10,32.22
2024/07/22 07:39:10,21.33
2024/07/22 07:44:10,20
2024/07/22 07:49:10,17.66
2024/07/22 07:54:10,14.98
2024/07/22 07:59:09,9.63
2024/07/22 08:04:09,12.35
2024/07/22 08:09:09,27.38
2024/07/22 08:14:08,16.47
2024/07/22 08:19:08,21.5
2024/07/22 08:24:07,15.54
2024/07/22 08:29:07,25.47
2024/07/22 08:34:07,17.58
2024/07/22 08:39:07,15.62
2024/07/22 08:44:07,16.63
2024/07/22 08:49:07,14.45
2024/07/22 08:54:07,20.92
2024/07/22 08:59:07,19.9
2024/07/22 09:04:07,14.6
2024/07/22 09:09:07,25.2
2024/07/22 09:14:07,9.65
2024/07/22 09:19:07,19.15
2024/07/22 09:24:07,17.39
2024/07/22 09:29:07,21.9
2024/07/22 09:34:07,10.96
2024/07/22 09:39:07,18.58
2024/07/22 09:44:07,9.4
